fact_id,variant_id,layer,is_correct,n_active_features,feature_l1_norm,feature_l2_norm,max_feature_value,top_feature_indices,top_feature_values
fact_0024,original,6,True,48,265.2825012207031,54.24662780761719,29.509048461914062,6201 4793 5091 13073 13460 7002 13328 15079 1864 12939 9324 14336 9620 11929 10483 6035 7265 11173 10151 14849,29.509048 25.567833 14.807239 13.310381 11.082847 10.859718 9.596254 8.471725 8.039617 8.020172 7.096895 6.608202 6.336419 5.820437 5.083746 4.775134 4.674086 4.629507 4.090359 4.083045
fact_0024,original,9,True,27,199.2709503173828,48.56285095214844,21.804615020751953,12102 785 16320 1060 964 54 4837 5634 7012 11351 11423 2486 1027 15635 15637 10923 8490 8927 10834 8945,21.804615 20.287218 17.468811 15.428160 14.825501 12.628696 12.252768 7.818172 6.580019 6.410670 5.372934 5.207840 5.087388 5.010483 4.068856 4.009398 3.957823 3.744838 3.583153 3.432933
fact_0024,original,12,True,48,355.7518310546875,69.5709228515625,31.02292823791504,7283 1041 2291 2620 11306 3797 6272 7990 8806 4246 14430 2542 1309 304 7541 6607 12439 2987 11646 3439,31.022928 28.353249 27.694626 23.912785 16.021946 12.909705 12.518487 10.828411 10.413927 9.158508 7.850164 7.327542 6.644924 6.643855 6.476033 6.190982 5.775150 5.688894 5.468184 5.403668
fact_0024,direct_answer,6,False,43,237.01466369628906,51.44652557373047,29.893604278564453,6201 4793 5091 7002 13073 13460 15079 13328 6035 14336 9324 1864 12939 9620 11173 11929 14825 10458 10483 12659,29.893604 24.049038 13.802520 12.277222 11.338364 10.801970 8.377363 8.139629 6.277053 6.018889 5.555841 5.552474 5.241905 4.901403 4.739289 4.443486 4.089177 3.980601 3.618052 3.565852
fact_0024,direct_answer,9,False,24,168.34812927246094,43.509300231933594,20.311595916748047,12102 16320 785 964 54 1060 4837 2486 5634 4521 2290 9595 8945 11351 8490 10923 15635 5960 2425 4494,20.311596 17.171167 17.144842 15.412442 12.800850 11.968327 8.570350 7.225625 5.908621 4.705438 4.499758 4.342694 4.224391 3.900023 3.732012 3.419234 3.415022 2.969002 2.852782 2.775366
fact_0024,direct_answer,12,False,57,378.2643737792969,67.09962463378906,29.16364288330078,1041 7283 2291 2620 11306 7541 6272 3797 304 7990 4246 7507 8806 15143 12139 2350 2542 3582 9227 14430,29.163643 28.110327 24.929955 24.113293 12.173276 10.916903 10.433484 10.377385 10.086388 8.301868 8.264149 7.625205 7.090321 6.325017 5.819749 5.744651 5.654199 5.580425 5.534771 5.361139
fact_0028,answer_briefly,6,True,34,196.3836212158203,49.58855056762695,27.778459548950195,7002 6201 15079 5275 2270 13460 13073 12254 11375 7015 1864 2490 14336 10458 9119 4550 12939 5682 11263 12659,27.778460 22.827389 17.217842 14.986356 14.164551 10.064423 8.762365 6.329091 4.297117 4.141246 4.067662 4.001999 3.953919 3.887143 3.241838 3.151681 3.002892 2.870249 2.759087 2.749384
fact_0028,answer_briefly,9,True,29,208.4312744140625,49.50584030151367,26.161048889160156,964 1435 4048 1060 54 4837 3699 13785 16107 7782 3624 11635 15057 2486 12490 10387 13996 1761 11549 6278,26.161049 20.453979 18.055119 13.361832 11.845373 10.069003 9.623896 9.617246 7.433004 6.616764 5.992721 5.850147 5.537791 5.351721 4.549092 4.315325 4.177864 3.891134 3.736116 3.726636
fact_0028,answer_briefly,12,True,71,442.0584716796875,63.16297912597656,23.852935791015625,1371 2620 2291 1710 7493 6810 4545 13079 6913 11306 8547 3250 8322 337 7390 13431 13726 9801 248 304,23.852936 21.948803 20.647882 17.124519 11.200401 10.768639 10.362288 9.920136 9.790169 9.693542 8.015456 7.888412 7.798550 7.622107 7.619778 7.511416 7.356752 7.223057 6.535155 6.530736
fact_0028,direct_answer,6,False,51,250.3720703125,52.654640197753906,32.567440032958984,6201 4793 5091 7002 13073 13460 13328 6035 9324 14336 1864 7265 1103 10458 11173 2230 12939 15079 9620 16250,32.567440 23.781559 13.394967 11.891909 11.632324 10.389359 8.244822 7.634627 6.628919 6.500091 5.999938 5.156935 4.338386 4.230837 3.962900 3.804893 3.655368 3.385818 3.378577 3.323058
fact_0028,direct_answer,9,False,22,158.70074462890625,41.38240432739258,17.147933959960938,16320 785 12102 964 54 1060 4837 2486 5634 2290 15635 9595 10923 8490 8945 4521 4494 16126 3819 4099,17.147934 17.095551 16.366184 14.938504 12.470034 11.327755 8.921053 7.115245 6.767304 4.973436 4.722667 4.338469 4.211254 4.123216 3.799504 3.694962 3.207722 2.867003 2.674989 2.663580
fact_0028,direct_answer,12,False,48,342.1561584472656,63.272457122802734,28.530214309692383,7283 1041 2620 2291 11306 12139 6272 7541 304 4246 3797 7882 8806 7493 6565 8306 1710 15143 2542 7507,28.530214 25.610077 22.272179 21.529074 11.339960 10.469029 9.390910 9.216533 8.906446 8.605862 8.198188 8.123814 8.119245 7.600367 7.351760 7.160956 7.151515 6.837715 6.658711 6.161750
fact_0029,short_direct,6,False,44,254.45526123046875,55.419254302978516,31.727706909179688,6201 4793 13073 5091 7002 13460 13328 14336 1864 12939 14783 15079 6035 6743 9812 11929 7627 14849 11173 10483,31.727707 25.524837 16.164680 15.023723 11.416254 10.211940 8.759111 8.578130 8.452700 8.435123 6.156619 6.012695 5.743230 5.102311 4.131470 4.112376 4.057405 3.871243 3.858996 3.774512
fact_0029,short_direct,9,False,26,195.1043243408203,48.51181411743164,24.654621124267578,12102 785 16320 1060 54 964 4837 15372 13785 230 1792 11351 11423 4821 10923 8975 8490 15635 16107 10834,24.654621 19.407066 16.395420 15.187750 14.061662 13.425836 11.519965 6.093740 6.067450 5.532837 5.222786 4.988870 4.657883 4.555538 4.310783 4.220103 4.203170 4.197183 3.977460 3.448779
fact_0029,short_direct,12,False,55,364.3876037597656,64.24221801757812,31.637052536010742,7283 2291 2620 1041 11306 3797 1309 6272 456 4246 6118 8450 14645 11160 11244 11646 858 3439 7805 10725,31.637053 24.491936 23.728844 15.959190 13.772902 10.909775 10.634258 10.000262 9.913074 8.792618 8.543688 8.155886 7.583318 7.401021 6.437699 6.279530 5.596346 5.462192 5.359377 5.288312
fact_0029,direct_answer,6,True,44,241.39036560058594,53.92289352416992,33.47195053100586,6201 4793 13073 5091 7002 13460 14336 6035 13328 14783 1864 15079 12939 6743 9812 10458 13853 14849 3956 11173,33.471951 23.869738 13.721598 13.559915 13.006212 10.018464 8.553477 8.157925 6.718951 5.958173 5.868705 5.699429 4.885706 4.854676 4.399708 4.322317 3.876796 3.406284 3.356824 3.260397
fact_0029,direct_answer,9,True,28,201.8424072265625,51.48760986328125,32.083003997802734,12102 16320 785 964 54 1060 4837 15372 8911 2678 2290 230 7610 11289 10923 16107 5204 12702 3819 6531,32.083004 17.666344 16.581831 15.323369 13.797044 13.362139 8.179661 6.256671 5.651294 5.474829 5.292182 4.995461 4.556336 4.518147 4.269793 4.121343 3.941642 3.903692 3.803049 3.581570
fact_0029,direct_answer,12,True,63,369.97222900390625,61.22199630737305,27.323312759399414,7283 2291 2620 1041 14645 3797 11306 6272 13390 4246 4668 10725 6565 11454 8450 13431 11244 7493 8322 11160,27.323313 25.276897 22.906334 19.549095 10.125058 9.594523 8.831802 8.590372 8.395055 7.956876 7.007308 6.436918 6.404552 6.258836 6.164992 5.888331 5.677878 5.505373 4.928865 4.841680
fact_0041,short_direct,6,False,47,256.96051025390625,54.01921463012695,29.490142822265625,6201 4793 13073 5091 7002 13460 14336 12939 15079 1864 14783 13328 6743 7627 11353 9342 6035 9812 11908 9620,29.490143 24.757833 15.463619 14.870662 12.143263 10.819933 9.130077 8.541969 8.416920 8.267500 6.613220 6.578319 5.706967 4.803518 4.616971 4.504431 4.272904 4.032716 3.660807 3.509377
fact_0041,short_direct,9,False,23,173.90489196777344,45.115543365478516,21.302114486694336,785 16320 1060 54 964 4837 3506 12102 13785 11423 15635 10098 4821 8490 2290 2678 230 10923 9712 7013,21.302114 17.864811 16.877863 13.925565 13.888820 12.356210 10.798137 9.669392 5.409062 4.886597 4.732664 4.343232 4.315928 4.198638 4.035969 3.872173 3.487745 3.263288 3.192822 3.104066
fact_0041,short_direct,12,False,52,358.1965026855469,65.71285247802734,32.03753662109375,7283 2291 2620 4113 11306 1041 6272 1309 7805 3797 456 4246 6118 8450 3439 3409 308 11244 11160 858,32.037537 26.932045 21.941162 16.265871 14.500813 13.445488 12.969033 11.356743 10.111070 9.945937 9.088789 8.971453 7.636893 6.944533 6.184973 5.551876 5.324328 5.252603 5.086968 4.900496
fact_0041,direct_answer,6,True,43,233.6055908203125,51.45705032348633,30.315990447998047,6201 4793 7002 5091 13073 13460 14336 15079 14783 6035 1864 13328 12939 10458 13853 9812 6743 11908 2230 7627,30.315990 23.476179 13.596189 13.588841 12.517326 10.254946 7.785740 7.274506 6.955562 6.493216 5.946684 5.308378 5.127316 4.383465 4.216784 3.985284 3.765374 3.675091 3.375647 3.328334
fact_0041,direct_answer,9,True,22,165.7062225341797,43.75832748413086,18.349241256713867,785 16320 964 1060 12102 54 4837 3506 8911 2290 10923 2486 15635 230 8490 5204 2678 5591 9712 4494,18.349241 18.329529 15.877830 15.197151 15.146427 13.343884 9.466007 6.502639 6.215016 5.776217 4.212683 4.211070 4.159577 4.073658 3.817761 3.400193 3.364186 3.032167 2.996880 2.957600
